grupo,coluna,n,media,mediana,moda,std,skewness,kurtosis
Sentimento,intensity_imputed,187,6.7059,7.0,7.0,1.0797,symmetric (-0.19),platykurtic (-0.57)
Sentimento,sentiment_encoded,187,0.1818,0.0,1.0,0.8793,symmetric (-0.36),platykurtic (-1.61)
Sentimento,emotion_encoded_v2,187,2.8235,2.0,1.0,2.8162,right-skewed (+0.82),platykurtic (-0.76)
Teorias,num_theories,187,0.3476,0.0,0.0,0.8046,right-skewed (+2.54),leptokurtic (+6.20)
Teorias,avg_plausibility_imputed,187,1.3266,0.0,0.0,2.7667,right-skewed (+1.68),leptokurtic (+0.96)
Teorias,max_plausibility_imputed,187,1.4225,0.0,0.0,2.9799,right-skewed (+1.70),leptokurtic (+1.07)
Temas,num_themes,187,4.1444,5.0,5.0,1.3302,left-skewed (-1.81),leptokurtic (+2.97)
Temas,num_canonical_themes,187,3.738,4.0,5.0,1.3877,left-skewed (-1.24),leptokurtic (+1.30)
Temas,theme_character_development,187,0.9251,1.0,1.0,0.2639,left-skewed (-3.26),leptokurtic (+8.70)
Temas,theme_nostalgia,187,0.8021,1.0,1.0,0.3995,left-skewed (-1.53),mesokurtic (+0.34)
Temas,theme_plot_elements,187,0.7701,1.0,1.0,0.4219,left-skewed (-1.29),mesokurtic (-0.33)
Temas,theme_relationships,187,0.6524,1.0,1.0,0.4775,left-skewed (-0.65),platykurtic (-1.60)
Temas,theme_theories,187,0.4332,0.0,0.0,0.4968,symmetric (+0.27),platykurtic (-1.95)
Temas,theme_cinematography,187,0.1123,0.0,0.0,0.3166,right-skewed (+2.48),leptokurtic (+4.17)
Temas,theme_music,187,0.0428,0.0,0.0,0.2029,right-skewed (+4.56),leptokurtic (+18.95)
Engagement,engagement_score_v2,187,4.2861,4.3,4.0,0.6543,symmetric (-0.09),mesokurtic (+0.10)
Engagement,engagement_score_winsorized,187,4.285,4.3,4.0,0.6021,symmetric (-0.05),platykurtic (-0.96)
Engagement,summary_length,187,62.4545,79.0,5.0,33.5,left-skewed (-0.66),platykurtic (-1.08)
